55,79,1
55,74,2
55,69,3
55,58,4
55,55,5
55,46,6
55,40,7
55,65,8
55,47,9
13,40,10
13,37,11
13,35,12
13,35,13
13,32,14
26,31,15
26,47,16
26,38,17
26,34,18
26,26,19
26,24,20
26,24,21
26,12,22
26,4,23
26,7,24
13,7,25
13,7,26
13,6,27
13,6,28
13,5,29
17,5,30
17,5,31
17,8,32
17,7,33
17,6,34
17,6,35
17,6,36
17,6,37
17,6,38
17,6,39
6,12,40
6,12,41
6,11,42
6,9,43
6,9,44
12,9,45
12,9,46
12,9,47
12,13,48
12,13,49
10,11,50
10,10,51
10,10,52
10,10,53
10,10,54
5,10,55
5,15,56
5,10,57
5,9,58
5,8,59
10,8,60
10,8,61
10,8,62
10,8,63
10,12,64
10,12,65
10,12,66
10,12,67
10,12,68
10,12,69
4,8,70
4,8,71
4,13,72
4,13,73
4,13,74
7,13,75
7,13,76
7,13,77
7,13,78
7,13,79
5,22,80
5,22,81
5,22,82
5,22,83
5,22,84
1,22,85
1,22,86
1,22,87
1,40,88
1,40,89
1,40,90
